Map,Lot,Unit,Street Address,Acres,Class,Assess. 2021,Apprais. 2021,Improv. 2021,Land Value 2021,Total Value 2021,Assess. 2020,Apprais. 2020,Recent Sale,Recent Date,Previous Sale,Previous Date,Grafton Sale,Grafton Date
201,61,,19 EAST THETFORD RD,1.5,R,"$635,700","$635,700","$379,700","$256,000","$635,700","$598,800","$598,800","$660,000",2014-09-16,$0,,$0,
201,62,,1 HAMILTON LN,0.26,R,"$156,600","$156,600","$43,200","$113,400","$156,600","$112,100","$112,100",$0,2000-06-15,"$55,000",1994-04-12,$0,
201,63,,7 HAMILTON LN,57,R,"$478,400","$614,500","$238,900","$375,600","$614,500","$484,300","$607,300","$142,000",1988-06-27,"$117,000",1986-12-15,$0,
201,65,,2 HAMILTON LN,0.81,R,"$803,300","$803,300","$526,300","$277,000","$803,300","$740,800","$740,800",$0,2012-03-06,"$135,000",1988-06-08,$0,
201,66,,8 EAST THETFORD RD,0.67,R,"$257,300","$257,300","$77,800","$179,500","$257,300","$212,500","$212,500",$0,2010-01-20,"$102,000",1995-01-09,$0,
201,67,,6 EAST THETFORD RD,0.7,R,"$570,100","$570,100","$365,800","$204,300","$570,100","$486,900","$486,900","$589,000",2017-10-30,"$485,000",2008-09-16,$0,
201,68,,4 EAST THETFORD RD,0.55,R,"$551,900","$551,900","$372,700","$179,200","$551,900","$445,300","$445,300","$208,000",1997-07-29,"$126,600",1993-10-06,$0,
201,69,,2 EAST THETFORD RD,0.72,R,"$542,700","$542,700","$335,100","$207,600","$542,700","$476,200","$476,200","$280,000",2000-11-21,"$140,000",1993-02-03,$0,
201,70,10,1 MAIN          ST (33% INT),0,C,"$295,700","$295,700","$295,700",$0,"$295,700","$308,800","$308,800",$0,2013-11-06,"$123,810",1993-07-21,$0,
201,70,20,1 MAIN          ST (67% INT),0,C,"$543,900","$543,900","$543,900",$0,"$543,900","$543,200","$543,200",$0,2013-11-06,"$215,048",1992-12-31,$0,
201,71,,3 MAIN ST,0.63,E,"$111,500","$111,500","$7,500","$104,000","$111,500","$99,400","$99,400",$0,,$0,,$0,
201,72,,10 LATHAM LN,1.4,R,"$289,200","$289,200","$104,100","$185,100","$289,200","$278,900","$278,900","$274,533",2009-10-02,"$3,800",2008-03-25,$0,
201,73,,5 MAIN ST,0.96,C,"$1,449,300","$1,449,300","$1,055,000","$394,300","$1,449,300","$1,222,500","$1,222,500","$500,000",2007-10-12,"$400,000",1987-01-02,$0,
201,74,,7 MAIN ST,0.4,C,"$510,400","$510,400","$236,100","$274,300","$510,400","$468,200","$468,200",$0,2007-09-13,"$225,000",1988-06-24,$0,
201,75,,9 MAIN ST,5.4,C,"$1,909,300","$1,909,300","$1,421,000","$488,300","$1,909,300","$1,552,700","$1,552,700",$0,1998-03-06,"$400,000",1989-05-15,$0,
201,76,,13 MAIN ST,0.31,C,"$623,200","$623,200","$359,500","$263,700","$623,200","$574,400","$574,400",$0,2004-08-30,"$450,000",1988-01-18,$0,
201,78,,1 PLEASANT ST (OLD CEMETERY,3.7,E,"$429,100","$429,100","$4,400","$424,700","$429,100","$341,700","$341,700",$0,,$0,,$0,
201,79,1000,21 PLEASANT ST,22,R,"$358,900","$479,700","$221,200","$258,500","$479,700","$273,900","$383,400",$0,2019-06-06,$0,,$0,
201,79,2000,23 PLEASANT ST,2.08,R,"$397,700","$397,700","$249,500","$148,200","$397,700","$341,700","$341,700",$0,1995-02-17,$0,,$0,
201,80,10,25 PLEASANT ST,0,R,"$406,300","$406,300","$406,300",$0,"$406,300","$388,500","$388,500","$390,000",2007-11-27,"$295,000",2003-09-03,$0,
