PID	Street Address	MBLU	Map	Lot	Unit	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Assess.	Prev. Apprais		Increased Assessment
1060	232 BAKER HILL RD	410/  5/  /  / 	410	5		002779/0048	"$1,145,300 "	"$1,390,700 "	44.4	1010	SINGLE FAM MDL01	RD	1	2016	"$952,200 "	"$438,500 "	"$1,390,700 "	$0 	2/17/03	"$90,000 "	3/20/98	"$913,900 "	"$1,128,100 "		"$231,400 "
865	60 SPRING HILL LN	408/  28/  /  / 	408	28		  2253/ 229	"$1,142,000 "	"$1,281,600 "	43.79	1010	SINGLE FAM MDL01	RD	1	2016	"$913,800 "	"$367,800 "	"$1,281,600 "	"$835,000 "	5/30/97	"$100,000 "	10/12/89	"$1,082,900 "	"$1,209,500 "		"$59,100 "
785	65 PINNACLE RD	407/  97/  /  / 	407	97		  3866/0622	"$1,138,100 "	"$1,375,300 "	69	1010	SINGLE FAM MDL01	RD	2	2016	"$824,000 "	"$551,300 "	"$1,375,300 "	$0 	3/20/12	"$675,000 "	12/14/01	"$1,099,200 "	"$1,314,600 "		"$38,900 "
737	8 TAVERN LN	407/  60/  4000/  / 	407	60	4000	  4570/ 715	"$1,129,400 "	"$1,244,000 "	21.07	1010	SINGLE FAM MDL01	RD	1	2016	"$854,300 "	"$389,700 "	"$1,244,000 "	"$1,500,000 "	11/2/20	"$95,000 "	5/4/99	"$917,900 "	"$986,800 "		"$211,500 "
101462	230 RIVER RD	402/  74/  2000/  / 	402	74	2000	  3242/0831	"$1,117,900 "	"$1,117,900 "	6.6	1010	SINGLE FAM MDL01	RD	1	2016	"$926,800 "	"$191,100 "	"$1,117,900 "	"$170,000 "	1/20/06	"$387,000 "	1/11/05	"$1,017,400 "	"$1,017,400 "		"$100,500 "
313	50 PRESTON RD	402/  21/  /  / 	402	21		  4537/0060	"$1,105,700 "	"$1,337,000 "	48.8	1010	SINGLE FAM MDL01	RD	1	2016	"$675,600 "	"$661,400 "	"$1,337,000 "	"$1,325,000 "	7/16/20	"$1,236,800 "	7/16/04	"$1,091,900 "	"$1,301,700 "		"$13,800 "
102691	42 HARDSCRABBLE LN	415/  10/  /  / 	415	10		  4573/ 775	"$1,082,900 "	"$1,214,700 "	35	1010	SINGLE FAM MDL01	RD	1	2016	"$791,100 "	"$423,600 "	"$1,214,700 "	$0 	11/10/20			"$1,074,100 "	"$1,193,600 "		"$8,800 "
479	28 STORRS HILL LN	404/  4/  /  / 	404	4		  3621/0609	"$1,058,300 "	"$1,359,900 "	103	1010	SINGLE FAM MDL01	RD	1	2016	"$750,500 "	"$609,400 "	"$1,359,900 "	$0 	6/24/09	"$395,048 "	4/24/92	"$1,034,200 "	"$1,307,500 "		"$24,100 "
782	37+51 PINNACLE RD	407/  96/  1100/  / 	407	96	1100	  2144/0358	"$1,053,200 "	"$1,168,500 "	43.1	1060	AC LND IMP	RD	2	2016	"$813,800 "	"$354,700 "	"$1,168,500 "	"$177,000 "	6/5/95	"$158,000 "	1/16/86	"$1,068,400 "	"$1,172,700 "		"($15,200)"
102737	51 HIGH ST	201/  134/  /  / 	201	134		  4238/0547	"$1,050,800 "	"$1,050,800 "	9.9	1010	SINGLE FAM MDL01	LCD	1	2016	"$682,300 "	"$368,500 "	"$1,050,800 "	"$360,000 "	10/3/16	"$209,000 "	6/26/06	"$893,900 "	"$893,900 "		"$156,900 "
862	16 ORFORD RD	408/  25/  /  / 	408	25		  1557/0186	"$1,048,600 "	"$1,048,600 "	8.97	920C	NON PROFIT  MDL-94	RD	1	2016	"$714,500 "	"$334,100 "	"$1,048,600 "	$0 				"$1,023,400 "	"$1,023,400 "		"$25,200 "
457	360 RIVER RD	403/  40/  /  / 	403	40		  2242/0345	"$1,044,500 "	"$1,228,200 "	34.94	1010	SINGLE FAM MDL01	RD	1	2016	"$818,800 "	"$409,400 "	"$1,228,200 "	"$4,000 "	3/14/97			"$959,700 "	"$1,125,900 "		"$84,800 "
810	85 HIGHBRIDGE RD	407/  118/  /  / 	407	118		  4213/0942	"$1,042,400 "	"$1,167,100 "	16.45	1010	SINGLE FAM MDL01	RD	1	2016	"$782,700 "	"$384,400 "	"$1,167,100 "	"$1,620,000 "	6/26/16	"$625,000 "	11/7/96	"$1,042,500 "	"$1,155,400 "		($100)
437	315 RIVER RD	403/  20/  /  / 	403	20		002827/0123	"$1,026,200 "	"$1,026,200 "	0.92	1093	MLTI HS WF	RD	2	2016	"$648,100 "	"$378,100 "	"$1,026,200 "	$0 	5/27/03	"$299,000 "	6/15/98	"$773,500 "	"$773,500 "		"$252,700 "
859	70 ORFORD RD	408/  22/  1000/  / 	408	22	1000	  1903/ 0413	"$1,021,800 "	"$1,021,800 "	13.45	3880	CABNCOLONY	RD	21	2016	"$342,600 "	"$679,200 "	"$1,021,800 "	$0 	4/1/91			"$870,500 "	"$870,500 "		"$151,300 "
100262	215 ORFORD RD	407/  53/  1000/  / 	407	53	1000	  2345/0290	"$1,008,600 "	"$1,084,600 "	14.9	1010	SINGLE FAM MDL01	RD	1	2016	"$826,700 "	"$257,900 "	"$1,084,600 "	"$115,000 "	9/30/98	"$230,000 "	9/29/97	"$880,100 "	"$948,700 "		"$128,500 "
900	18 + 20 HARDSCRABBLE LN	408/  55/  /  / 	408	55		  4183/ 665	"$1,004,200 "	"$1,239,000 "	32.5	1090	MULTI HSES	RD	2	2016	"$563,900 "	"$675,100 "	"$1,239,000 "	$0 	1/14/16			"$909,300 "	"$1,122,200 "		"$94,900 "
325	204 DARTMOUTH COLLEGE HY	402/  31/  /  / 	402	31		  2338/0366	"$1,001,800 "	"$1,001,800 "	5.9	3560	PROF ASSOC	RD	1	2016	"$750,700 "	"$251,100 "	"$1,001,800 "	"$150,000 "	8/26/98	"$77,500 "	5/9/97	"$911,000 "	"$911,000 "		"$90,800 "
469	15 RECORDRIDGE LN	403/  48/  /  / 	403	48		  3360/0554	"$997,000 "	"$997,000 "	10.2	1010	SINGLE FAM MDL01	RD	1	2016	"$725,500 "	"$271,500 "	"$997,000 "	"$800,000 "	12/8/06	"$525,000 "	8/9/01	"$839,600 "	"$839,600 "		"$157,400 "
597	52 BRECK HILL RD	405/  50/  /  / 	405	50		  3402/0127	"$992,000 "	"$1,089,400 "	15.25	1010	SINGLE FAM MDL01	RD	1	2016	"$689,900 "	"$399,500 "	"$1,089,400 "	$0 	4/24/07			"$912,100 "	"$1,000,100 "		"$79,900 "
740	48 CULVER HILL LN	407/  60/  7000/  / 	407	60	7000	  3736/0631	"$970,800 "	"$970,800 "	5.13	1090	MULTI HSES	RD	2	2016	"$673,000 "	"$297,800 "	"$970,800 "	"$960,000 "	9/29/10	"$616,000 "	8/1/01	"$950,300 "	"$950,300 "		"$20,500 "
1326	55 HARDSCRABBLE LN	415/  2/  /  / 	415	2		  2358/0305	"$962,600 "	"$1,084,200 "	22.2	1010	SINGLE FAM MDL01	RD	1	2016	"$702,900 "	"$381,300 "	"$1,084,200 "	"$685,000 "	11/25/98	"$4,000 "	9/26/95	"$974,200 "	"$1,084,600 "		"($11,600)"
1382	16 DAVISON LN	416/  16/  /  / 	416	16		  4383/0408	"$958,600 "	"$958,600 "	3.6	1010	SINGLE FAM MDL01		1	2016	"$613,200 "	"$345,400 "	"$958,600 "	"$880,000 "	8/22/18	"$330,000 "	10/18/89	"$885,900 "	"$885,900 "		"$72,700 "
746	63 WHIPPLE HILL RD	407/  66/  /  / 	407	66		  4214/0312	"$954,900 "	"$954,900 "	7.74	1010	SINGLE FAM MDL01	RD	1	2016	"$657,300 "	"$297,600 "	"$954,900 "	$0 	6/22/16	"$500,000 "	2/28/97	"$872,500 "	"$872,500 "		"$82,400 "
895	181 ACORN HILL RD	408/  50/  /  / 	408	50		  3891/0463	"$941,900 "	"$1,026,500 "	11.65	1010	SINGLE FAM MDL01	RD	1	2016	"$743,700 "	"$282,800 "	"$1,026,500 "	$0 	6/15/12	"$765,000 "	6/28/06	"$767,300 "	"$843,900 "		"$174,600 "
506	21 GREGORY RD	404/  31/  /  / 	404	31		  3704/0784	"$937,200 "	"$937,200 "	9	1010	SINGLE FAM MDL01		1	2016	"$580,400 "	"$356,800 "	"$937,200 "	"$650,000 "	5/24/10	"$625,000 "	5/22/03	"$805,100 "	"$805,100 "		"$132,100 "
1406	128 ORFORDVILLE RD	417/  5/  /  / 	417	5		  2495/0444	"$933,700 "	"$1,388,500 "	77.6	1010	SINGLE FAM MDL01	RD	1	2016	"$703,700 "	"$684,800 "	"$1,388,500 "	"$200,000 "	10/24/00	"$150,000 "	3/25/92	"$1,029,200 "	"$1,301,500 "		"($95,500)"
100000	106 PRESTON RD	402/  18/  1000/  / 	402	18	1000	  3944/0114	"$933,100 "	"$1,006,700 "	15.33	1010	SINGLE FAM MDL01	RD	1	2016	"$765,900 "	"$240,800 "	"$1,006,700 "	$0 	12/28/12	"$160,000 "	1/20/04	"$855,900 "	"$919,500 "		"$77,200 "
398	155 RIVER RD	402/  100/  /  / 	402	100		  4479/ 998	"$927,100 "	"$927,100 "	2.15	1013	SFR WATER  MDL-01	RD	1	2016	"$573,400 "	"$353,700 "	"$927,100 "	$0 	11/8/19	"$99,533 "	10/14/05	"$928,900 "	"$928,900 "		"($1,800)"
690	16 POST POND LN	407/  30/  /  / 	407	30		  3990/0020	"$926,900 "	"$926,900 "	3.7	1010	SINGLE FAM MDL01	RD	1	2016	"$726,400 "	"$200,500 "	"$926,900 "	"$770,000 "	6/25/13	"$850,000 "	5/6/08	"$783,500 "	"$783,500 "		"$143,400 "
57	2 ON THE COMMON	201/  37/  /  / 	201	37		  4472/0485	"$925,900 "	"$925,900 "	1.4	1010	SINGLE FAM MDL01	LCD	1	2016	"$695,900 "	"$230,000 "	"$925,900 "	"$985,000 "	10/10/19	"$275,000 "	1/10/03	"$916,600 "	"$916,600 "		"$9,300 "
806	42 HIGHBRIDGE RD	407/  114/  /  / 	407	114		  4359/0624	"$921,500 "	"$1,052,000 "	21.3	1010	SINGLE FAM MDL01	RD	1	2016	"$715,100 "	"$336,900 "	"$1,052,000 "	"$912,500 "	5/11/18	"$865,000 "	6/24/15	"$724,800 "	"$840,700 "		"$196,700 "
58	38 UNION ST (LIBRARY)	201/  38/  /  / 	201	38		 	"$915,600 "	"$915,600 "	0.44	903C	MUNICPAL  MDL-94	LCD	1	2016	"$653,600 "	"$262,000 "	"$915,600 "	$0 				"$859,500 "	"$859,500 "		"$56,100 "
655	57 POST POND LN	407/  16/  /  / 	407	16		   PRO/2002	"$913,600 "	"$913,600 "	1.31	1013	SFR WATER  MDL-01	RD	1	2016	"$480,400 "	"$433,200 "	"$913,600 "	$0 	1/1/02	"$99,333 "	8/8/01	"$696,900 "	"$696,900 "		"$216,700 "
